titleId,production_companies_name
tt0011114,Universal Film Manufacturing Company
tt0011117,Marshall Neilan Productions
tt0011128,Mack Sennett Comedies
tt0011130,Famous Players-Lasky Corporation
tt0011143,Goldwyn Pictures Corporation
tt0011157,SF Studios
tt0011172,King W. Vidor Productions
tt0011193,Selznick Pictures Corporation
tt0011207,Paramount
tt0011212,Famous Players-Lasky Corporation
tt0011217,Goron Film
tt0011234,Marshall Neilan Productions
tt0011237,Projektions A-G Union (PAGU)
tt0011241,Universal Film Manufacturing Company
tt0011244,Goldwyn Pictures Corporation
tt0011244,Frank Lloyd Productions
tt0011246,Maurice Tourneur Productions
tt0011256,Filmindustri AB Skandia
tt0011294,Pathé Frères
tt0011298,Universal Film Manufacturing Company
tt0011302,Gaumont Série Pax
tt0011317,Cosmopolitan Productions
tt0011329,Constance Talmadge Film Company
tt0011344,King W. Vidor Productions
tt0011348,Lipow-Film
tt0011349,Realart Pictures Corporation
tt0011358,Fox Film Corporation
tt0011362,Svenska Biografteatern
tt0011370,Svenska Biografteatern
tt0011371,Messter Film
tt0011383,Famous Players-Lasky Corporation
tt0011387,Maurice Tourneur Productions
tt0011414,Constance Talmadge Film Company
tt0011415,D.W. Griffith Productions
tt0011426,Goldwyn Pictures Corporation
tt0011439,Douglas Fairbanks Pictures
tt0011440,Norrøna Film
tt0011440,Christiana Film
tt0011448,Thomas H. Ince Productions
tt0011499,SF Studios
tt0011507,Gaumont Série Pax
tt0011522,Realart Pictures Corporation
tt0011525,Münchner Lichtspielkunst AG (Emelka)
tt0011530,Thomas H. Ince Corporation
tt0011565,Goldwyn Pictures Corporation
tt0011565,Eminent Authors Pictures Inc
tt0011588,United Artists
tt0011588,Mary Pickford Company
tt0011607,SF Studios
tt0011623,Cosmopolitan Productions
tt0011628,Albert Capellani Productions
tt0011650,Ruth Roland Serials
tt0011651,William S. Hart Productions
tt0011652,Metro Pictures Corporation
tt0011670,Fox Film Corporation
tt0011679,J. Parker Read Jr. Productions
tt0011716,Famous Players-Lasky Corporation
tt0011723,Decla Film Gesellschaft Holz & Co.
tt0011725,Berliner Film-Manufaktur GmbH
tt0011741,United Artists
tt0011741,Mary Pickford Company
tt0011742,Projektions-AG Union (PAGU)
tt0011756,William S. Hart Productions
tt0011760,Fox Film Corporation
tt0011764,Paramount
tt0011765,Filmindustri AB Skandia
tt0011779,William S. Hart Productions
tt0011781,Paramount
tt0011785,Maurice Tourneur Productions
tt0011830,Universal Film Manufacturing Company
tt0011831,Albert Capellani Productions
tt0011833,Ilag-Film
tt0011837,May-Film
tt0011841,D.W. Griffith Productions
tt0011841,United Artists
tt0011848,Goldwyn Pictures Corporation
tt0011849,American Cinema Corporation
tt0011859,Maurice Tourneur Productions
tt0011862,Fox Film Corporation
tt0011865,Famous Players-Lasky Corporation
tt0011865,Paramount
tt0011870,Micheaux Book & Film Company
tt0011889,Anita Stewart Productions
tt0011889,Louis B. Mayer Productions
tt0011904,Goldwyn Pictures Corporation
tt0011904,Warner Home Video
tt0011908,Great Western Productions
tt0011909,Famous Players-Lasky Corporation
tt0011912,Famous Players-Lasky Corporation
tt0011948,Max Linder Productions
tt0011960,Projektions-AG Union (PAGU)
tt0011973,Vitagraph Company of America
tt0011975,Hayakawa Feature Play Company
tt0011990,Paramount British Pictures
tt0011998,Famous Players-Lasky Corporation
tt0012027,Nazimova Productions
tt0012067,Fox Film Corporation
tt0012068,Metro Pictures Corporation
tt0012082,Thomas H. Ince Corporation
tt0012086,Goldwyn Pictures Corporation
tt0012111,Distinctive Productions
tt0012122,D.W. Griffith Productions
tt0012125,Realart Pictures Corporation
tt0012134,Gaumont Série Pax
tt0012134,Gaumont
tt0012170,Universal Film Manufacturing Company
tt0012181,Famous Players-Lasky Corporation
tt0012187,Paramount
tt0012190,Metro Pictures Corporation
tt0012215,Famous Players-Lasky Corporation
tt0012248,Thomas H. Ince Corporation
tt0012249,Art-Film GmbH
tt0012279,Goldwyn Pictures Corporation
tt0012281,Henny Porten Filmproduktion
tt0012281,Gloria Film
tt0012289,Thomas H. Ince Corporation
tt0012334,Svenska Biografteatern
tt0012334,SF Studios
tt0012342,Ermolieff Films
tt0012349,Charles Chaplin Productions
tt0012364,SF Studios
tt0012365,Sascha-Film
tt0012382,Paramount
tt0012397,United Artists
tt0012397,Mary Pickford Company
tt0012408,United Artists
tt0012408,Mary Pickford Company
tt0012423,Thomas H. Ince Corporation
tt0012427,Nazimova Productions
tt0012439,Goldwyn Pictures Corporation
tt0012445,Allen Holubar Pictures
tt0012460,Universal Film Manufacturing Company
tt0012468,Mack Sennett-Mabel Normand Productions
tt0012494,Decla-Bioscop
tt0012513,Douglas Fairbanks Pictures
tt0012529,Thomas H. Ince Corporation
tt0012532,D.W. Griffith Productions
tt0012538,Universal Pictures
tt0012563,Irving M. Lesser
tt0012563,First National Pictures
tt0012584,Famous Players-Lasky Corporation
tt0012587,Famous Players-Lasky Corporation
tt0012587,Paramount
tt0012634,Thomas H. Ince Corporation
tt0012640,Famous Players-Lasky Corporation
tt0012642,Hal Roach Studios
tt0012645,Projektions-AG Union (PAGU)
tt0012650,Rex-Film GmbH
tt0012651,Uco-Film GmbH
tt0012651,Decla-Bioscop
